"Samples","ID","Group","FBratio","Bacteroidetes","Firmicutes","dataset_name"
"ERAS1_Dag0","ERAS1","Day0",8.19038010372918,0.0775554561405782,0.635208664909433,"PRJEB20800"
"ERAS1_Dag180","ERAS1","Day180",9.2913439521166,0.0607106777995961,0.564083789002177,"PRJEB20800"
"ERAS1_Dag42","ERAS1","Day42",1.603790625224,0.158737340225121,0.254581458126041,"PRJEB20800"
"ERAS1_Dag8","ERAS1","Day8",0.736437746947968,0.236087382008834,0.17386365968943,"PRJEB20800"
"ERAS10_Dag0","ERAS10","Day0",0.493442274208068,0.304402938342119,0.150205278171154,"PRJEB20800"
"ERAS10_Dag180","ERAS10","Day180",0.350823475960279,0.552040946309998,0.193668923656875,"PRJEB20800"
"ERAS10_Dag42","ERAS10","Day42",0.129525782152501,0.597396279180462,0.0773782203158433,"PRJEB20800"
"ERAS10_Dag8","ERAS10","Day8",363.588648167466,0.00242986389763859,0.883470929773344,"PRJEB20800"
"ERAS11_Dag0","ERAS11","Day0",3.79987886974461,0.0688586762273795,0.261654628795005,"PRJEB20800"
"ERAS11_Dag180","ERAS11","Day180",2.84484711338605,0.115945261655439,0.329846542931267,"PRJEB20800"
"ERAS11_Dag42","ERAS11","Day42",1.11004543978535,0.158642692171173,0.176100596999881,"PRJEB20800"
"ERAS11_Dag4opt","ERAS11","Day4",14.192467922013,0.00121046691813176,0.017179512906243,"PRJEB20800"
"ERAS11_Dag8","ERAS11","Day8",879.025979396949,0.000680169689111729,0.597886827127555,"PRJEB20800"
"ERAS12_Dag0","ERAS12","Day0",0.382195184652167,0.488152929291823,0.186569698949185,"PRJEB20800"
"ERAS12_Dag180","ERAS12","Day180",3.58696290855673,0.191696150734841,0.687606982398974,"PRJEB20800"
"ERAS12_Dag42","ERAS12","Day42",1.26204100487278,0.267692720203402,0.337839189602628,"PRJEB20800"
"ERAS12_Dag4opt","ERAS12","Day4",64.9250570218313,0.0011768126593379,0.0764046290115264,"PRJEB20800"
"ERAS12_Dag8","ERAS12","Day8",0.290999206644906,0.376189218888278,0.109470764244856,"PRJEB20800"
"ERAS2_Dag0","ERAS2","Day0",1.01498051624685,0.249709699668589,0.253450479881469,"PRJEB20800"
